建築家ID,建築家名,家No,家ID（自動）,家の名前,費用,実施エリア,実施時期（年）,延床面積,内容,URL
10,粕谷淳司/粕谷奈緒子,1,100001,003,,,,,,https://suvaco.jp/project/ZUIVOibnY3
10,粕谷淳司/粕谷奈緒子,2,100002,002,,,,,,https://suvaco.jp/project/PnCbebaGNP
10,粕谷淳司/粕谷奈緒子,3,100003,001,,,,,,https://suvaco.jp/project/poSNNd3GKZ
10,粕谷淳司/粕谷奈緒子,4,100004,twist,,,,,,
10,粕谷淳司/粕谷奈緒子,5,100005,flat,,,,,,
11,玉上貴人,1,110001,G-HOUSE,,,2015年,,,https://suvaco.jp/project/DTm6dYDmfd
11,玉上貴人,2,110002,Northern Nautilus,,,2012年,,,https://suvaco.jp/project/ckEoZVVb3O
11,玉上貴人,3,110003,N-HOUSE,,,2011年,,,https://suvaco.jp/project/G1CCjUsRrM
11,玉上貴人,4,110004,守谷T邸,,,2008年,,,https://suvaco.jp/project/mKjJVXcVtC
12,廣部剛司,1,120001,808,1200万円,神奈川県,2014,,スカッシュというスポーツを始めたことで出会い、長年お付き合いをさせて頂いているご夫婦。スカッシュと共に、美味しいものを食べるという食いしん坊な部分でも、よくご一緒させて頂いています。,https://suvaco.jp/project/SEO5BT54ce
,,,,,,,,,,
,,,,,,,,,そういうわけで、この８０８にも何度も呼んで頂いて仲間と共に楽しい時間を過ごしていました。いつお邪魔しても、まるで本屋さんのようにきちっと文庫別、作家別に整理された書棚。余計なものがまったく外に出ていない状態で、綺麗に住みこなされていたのが印象に残りました。,
,,,,,,,,,,
,,,,,,,,,さて、そんなお付き合いをさせて頂いているご夫婦が「お施主さん」になるにはきっかけがありました。以前からスカッシュ仲間と共に時折内覧会には遊びに来てくれていたのですが、お互いにあまり具体的に仕事をする、という意味では意識していなかった関係でした。それが４月末にあった『L→i』の内覧会に来ていただいて「ひょっとして可能性ある？」とひらめいたそうです。,
,,,,,,,,,,
,,,,,,,,,　それからすぐ、あらためて「現調」に訪れた８０８はスケルトンリフォームを前提とするのが勿体ないほど綺麗な状態でした。同時に、これからの夫婦２人の時間を豊かなものにするために決断されたことの重さを感じました。リフォーム自体は少し前から検討を始められていて、そのときすでに２～３社の提案がすでにされていました。提示された条件は、それらの提案と同額程度のコストでできること。そして（当然ながら）それらよりも魅力的な提案ができることでした。,
,,,,,,,,,,
,,,,,,,,,　細かな図面が残っていなかったため、実測をしながら調査をしてみると現況プランの気になるところがいくつか浮かび上がってきました。まず大きな梁型がいくつかでているけれども、それは梁だけではなくダクトを通すためのスペース等となっていて、内部の気積を圧迫していること。そして、収納スペースまわりも含めて、デッドになっている部分が実はある事。,
,,,,,,,,,水廻りPS、既存開口部などの関係からプラン的に大きな変更はできないけれども、まずはスケルトン状態を想定して、いかに気積を大きく取れるようにするのかを考えました。そして、一つ一つの居場所がぶつ切りになっている状態から、全体をゆるやかに繋ぎ、連続したテリトリーとして感じられるための検討をしていきました。,
,,,,,,,,,,
,,,,,,,,,天井は撤去した状態から配線スペースなどのための余白のみを取って、グラスウールマットを貼り込むことで、吸音性を担保しつつ最大限のボリュームとなるように設定。そして、特に中心部に来る水廻りのボリュームを「置いてある」ようにつくることで、１つの大きな囲いの中に「しつらえ」られたものとしてつくろうとしています。これらの基本的な操作によって、変わらぬ面積であっても身体を取り巻く空間の大きさは少し違って感じられるはずです。,
,,,,,,,,,,
,,,,,,,,,　それを前提に、ご夫婦の大切にされていること、収納するものたちと丁寧に寄り添い、家具的な密度で全体を作り込んでいきました。建築（スケルトン）から造作家具までを１つのグラデーションの中でつくって行くということに、変わらぬ興味があります。その意味でこの住戸が持つ密度感がどのように「建築」という行為のスケール感を揺さぶってくれるのか。そんなことを考えながら手掛けたマンションリフォームでした。,
,,,,,,,,,,
,,,,,,,,,廣部剛司,
12,廣部剛司,2,120002,Tre Vorte,,,,,すでにそこにあったかのような,https://suvaco.jp/project/aMebW7NmpG
,,,,,,,,,,
,,,,,,,,,樹木をできるだけ切らない、４台のクルマを納める、そして親世帯へのアプローチを確保する。,
,,,,,,,,,,
,,,,,,,,,これがこの住宅を設計するにあたって設定されたテーマだった。住空間にクルマを入れるという仕事はいままでいくつも手掛けているが、４台。それもディーノを含めた２台は「内部に」導くということの難しさは実際にプランニングを進めるほどにしみていった。その理由の一つはクルマというものは大小の差こそあれ、生活空間にスパーインポーズすると驚くほど大きいものだからだ。最初に敷地を訪れてからというもの、樹木を避けること、クルマの動線を考えること、敷地奥に現存する親世帯への動線をそのままダイアグラムにしたようなプランをひたすら描き続けた。時にそれは曲線が複雑に交叉したり、多角形の連続で解決しようとしていたりと実現の難易度をあげてしまうエスキースだった。ひたすらスケッチブックにスケッチを繰り返すうち、あっという間に半年以上の月日が過ぎ去った。,
,,,,,,,,,,
,,,,,,,,,「旅」は時に思考を強烈にリセットする。それを否応なしに実感することになったのは、インドから戻ってきたときのことだった。日本で常識だと思っていることがガラガラと崩れ去るような強烈な日々、チャンディガールではマシンガンをまわりの兵士達が構える状況に一瞬置かれ、ひどい下痢のなか執念で見に行ったカーンのインド経営大学は、視界の中で陽炎のように揺れていた。そこは、日々生きているということの困難さと必死さに満ち溢れた場のように自分には写った。その旅から戻ってきて、改めてペンを動かしてみたときに驚くべき単純さでこの住宅が「解ける」と感じたのだ。すべての提案図面、パース群、模型をクライアントに提案したのは敷地を訪れてから１年後のことだった。,
,,,,,,,,,,
,,,,,,,,,スパン3.6ｍの長さが違うボリュームが３つ連続していて、その間に中庭が取られたプラン。それと直交するように車が入る大きなボリュームが貫入していく。２台の大切なクルマが置かれたガレージ間にクルマを楽しみ、書斎機能も兼ねるクルマリビングを配した。部屋の空間的なボリュームを確保するため、庭に沈み込むように床レベルを下げ、天井高2800mmを確保、アイレベルに愛車が置かれるようにしている。クルマ好きの憧れる一台であるディーノの置かれる場所について考えていたときに、イメージしていたのは木立の下に佇む姿だった。既存庭の緑と新植した中庭のアオダモに（実際はガラスで保護されながら）はさまれるように停車するディーノを家の様々なポジションから眺められるようにしている。,
,,,,,,,,,,
,,,,,,,,,メインの生活空間となる2階は、親世帯側の庭と空への視線を強く意識しながら、その場所自体が外部と内部の曖昧な境界線上に浮遊しているようにつくろうと試みている。端的にはリビングの全開口サッシュであったり、大型の外引き製作サッシュによる障子の消去といったディテールに現れている。また２階は全体に外断熱を施し、空間をフレキシブルに切り離しながら利用できることで、空調も含めた建築の維持が生活の負担にならないように配慮している。,
,,,,,,,,,,
,,,,,,,,,さて、3.6ｍスパンの３つのボリュームをどう構成するか？　建築が建築らしくある、そのための言語はすでに語り尽くされているけれども、あえてあまりにもRC的なヴォールトと一体的に連続させた梁型の存在感で「建築的」なカタチを与えようと考えた。同じスパンのヴォールトが続いていることで、初原的な建築要素がすでにそこにあって、それを感覚的にはリノベーションしながら人のスケールに手を差しのべるような家具で必要な機能を満たしていくような空間のあり方もつくれるのではないかと思ったからだ。,
,,,,,,,,,,
,,,,,,,,,細かいところまで作り込んでいき、肌合いに近い素材感にまで神経を繋げる、という手法は今に始まったことではないが、そこに手を触れてはいけないような強い「建築」の要素がラップしている空間のありかた。そして、それが持つ＜建築的な強さ＞を改めて感じている。,
,,,,,,,,,,
,,,,,,,,,（廣部剛司）,
12,廣部剛司,3,120003,南青山M,,,,,都心にどう住まうか,https://suvaco.jp/project/gZLIZJxBy4
,,,,,,,,,,
,,,,,,,,,そこには、変わらぬ二つの命題が常に課されている。厳しい立地を「建築」としてどう解決するかという点、そして高い地価の敷地ゆえにそれを最大限利用する必要が生じるという「経済」が作用する点だ。,
,,,,,,,,,,
,,,,,,,,,敷地のポテンシャルを最大限に引き出す、という「経済」の意味ではこの住宅はある意味非常に素直だ。厳しい高度斜線の複雑な規制にそのまま沿った北西側の建物形状。そして、狭い前面道路からの道路斜線をクリアーするために採用した天空率計算により逆算的に導かれた外観のアウトライン。これらは、建築の内部に対して立体的な「敷地条件」のように作用している。,
,,,,,,,,,,
,,,,,,,,,都市に住む、ということを「建築」的な道筋として考えるときに、その環境に正面から対峙するような方法を取ることは難しい。やはり、家にいるときに外からの視線を意識しなくてはいけないというのは安心できないと思うからだ。反面、都市に潜む隠者のような空間がつくる悦楽もまた、本来「人が住む」ということに対して背を向けているように感じる。雨が降ればそれを感じていたいし、夕方になれば変わりゆく陽光を楽しみたい。だから少々難しくても、建築の中に＜外＞を導くような空間のあり方からスタートしたくなるのだ。,
,,,,,,,,,,
,,,,,,,,,半ば自動書記的に導かれた外皮に南北２カ所の坪庭と階段を「切り取る」ところから始まったプランニングは、同時に力を外壁のコンクリートに伝えにくい切り刻まれた床スラブを生み出すことになった。それを補うためにこの建築のスケールに対しては大きすぎる梁をどう扱うか？　それが設計初期の課題だった。しかし、実施設計も進行中のある日、ふと上下を貫通する八角形の階段室を挿入するプランが浮かんだ。寝室それぞれに専用の水廻りを必要とする生活上の要求にもそれは上手く作用しただけでなく、構造的にも有利に働き、スラブを切り取っただけの厚みで床を構成することができた。層間をギリギリまでそぎ落とすことで、2.8ｍという天井高を持つリビングのボリュームを実現しているのだ。空間の豊かさはその平面だけではなく容積に大きく左右される。限られた面積の空間を、取り込んだ＜外＞、トップライトへと繋がる吹き抜け、そして八角形の階段がつくり出す＜奥行＞によって意識の上で拡張していこうとしている。,
,,,,,,,,,,
,,,,,,,,,八角形の階段室は、閉ざされた＜奥＞とするのではなく、家の中では他と性質の違う＜光＞で充満させようと考えた。大きなガラス面のペントハウスやトップライトからの光を白い珪藻土、階段部材のスチール・ポリカーボネート、そして内部に張り巡らせた船舶用ロープで柔らかに反射、回折させようとしている。それが各階の出入り口と設計時より綿密に練っていった大小の丸い開口部から各部屋にこぼれ出てくる。リアルな生活空間と対比的に抽象化した白い世界が、厚いコンクリートの内側に表裏一体として存在している。,
,,,,,,,,,,
,,,,,,,,,都市の懐に抱かれながらも、地球がもたらす＜言葉＞を常に受け取っていられる建築。それを細かいグラデーションのような配慮を重ね合わせながら実現していきたい。そのためにはいくつものチャレンジをしながらも「守られるべきもの」が見えていないといけないのではないか、それは皮膚感覚に近い安心感へと繋がるのではないか。ここが地球の一部である、ということを「繋げた」まま、都市に住む。ということへの一つの希求としてこの建築は生まれた。,
,,,,,,,,,,
,,,,,,,,,（廣部剛司）,
12,廣部剛司,4,120004,海辺のシェルハウス,,,,,変奏の行方,https://suvaco.jp/project/1z6jUY2Gql
,,,,,,,,,,
,,,,,,,,,千葉県の南房総市に計画された週末住宅である。はじめて敷地を訪れたとき、その海岸線からの近さに驚かされた。そして同時に、海に面している敷地境界線以外の３つの辺に対して、実はあまり開くことのできない敷地条件だと言うことに気付かされた。真横が夏は海水浴客や臨海学校で子供達が大勢押し寄せる海水浴場であり、釣り客の途絶えることのない防波堤に面していること、残りの２辺は同時に宅地として販売された住宅地であることからだ。とはいえ、静かな海に面した土地。何らかのよりどころを保ちながら、その素晴らしいロケーションを生かした建築にしたいと思った。スケッチを繰り返すうちに、建築そのもので他者の視線を遮りながら海と空を切り取る、という方向性が導かれた。,
,,,,,,,,,,
,,,,,,,,,海と空に開くバッファーのような外部（これは中庭空間に結実する）を囲い取るような建築を思い描いているときに、ふと浜辺に打ち上げられた貝殻を想った。そして幼い頃、海岸で貝殻をのぞき込んだり耳を当ててみたりした経験がよみがえったのだ。平坦な地面の上に自律的なかたちでポンと置かれてはいるけれども、毅然として佇む。そこには、この敷地だからこそ導かれる建築のカタチがあるように思えた。,
,,,,,,,,,,
,,,,,,,,,貝殻の中に入ってみたい、そしてその中に響く波音を聴いてみたい。,
,,,,,,,,,,
,,,,,,,,,それは、この建築へと向かう明確な意志に変わった。貝殻に包み込まれるような空間（シェルター）を獲得するためには一つ越えなくてはいけないポイントがあると思った。それは「壁」、「屋根」という認識を揺さぶることだった。だから、「壁」を傾けて「屋根」と呼ばれているものまで空間の覆いを連続させようと考えたのだ。,
,,,,,,,,,,
,,,,,,,,,＜貝殻＞を木造で作るための抽象化プロセスとして、想定される曲面を多角形に分割し、海に面した部分を切り取った。切り取らずにグルリと一周していれば、この構造だけで構成することができるが、切り取られることで切断面は壁内のブレースで補強され（その形態がそのまま三角形の窓に現れている）中庭側に鉛直力を受け持つ細い鉄骨柱を立てた。名付けるとすれば、木造による多面体セミモノコック構造。外皮の構造用合板で剪断力を負担し、面内の軸力と面外方向の曲げ応力を縦リブで負担する構造形式である。ここではその空間の力強さをストレートに表現するために構造体を内部に剥き出しにすることとした。開き止め金物やHD金物一つ内部には露出させないようにディテールを練り、まったく逃げのきかない施工精度を要求することにはなってしまったが、襞のような構造部材がリズミカルに連続していく室内空間が導かれた。,
,,,,,,,,,,
,,,,,,,,,通気口を兼ねたトップライトや中庭からの光で、＜貝殻＞の中は一日を通して変化し続ける。水面のうねりを眺め、波の音を聴きながら季節は巡る。冬の時期に正面に沈むように設計された夕陽を眺めている時間。それを木造のシェルが包み込んでいる。,
,,,,,,,,,,
,,,,,,,,,（廣部剛司）,
12,廣部剛司,5,120005,大井の家,,東京都,,,光の移り変わりを感じる器として,https://suvaco.jp/project/uJ9TFLIAlK
,,,,,,,,,,
,,,,,,,,,東京都品川区の密集した住宅地に計画された住宅である。周囲は西面の道路とその向こうにある小公園のほかは隣家に囲まれ、さらに道路面より１mほど下がったレベルにこの敷地はある。,
,,,,,,,,,,
,,,,,,,,,敷地形状は２カ所の鋭角コーナーを持った変形敷地であり、ますはこの敷地形状に沿った外壁を配置し、レベル差はスロープを設けることで対応している。周囲に対して存在感が突出しないよう２層のボリュームでおさえ、コーナーに３カ所の外部（坪庭）を配置。プライバシーを保ちながら外部に対して開いていられる生活空間をもたらしている。,
,,,,,,,,,,
,,,,,,,,,内外を貫通する曲面壁は、主要な動線を導くと同時に季節における太陽軌道を意識して決められている。具体的には、夏の特に夕方の直射光は室内に導かず、冬季は長く陽光を室内に届け、暖かさをもたらすように計画している。,
,,,,,,,,,,
,,,,,,,,,ＲＣで大きな骨格をつくり、内部の間仕切りは家具工事で入れ子状になっており、将来的な用途可変にも対応できる。また、家具が建築に占める領域の拡張を意図しており、間仕切り的な役割からダイニングテーブルなど置き家具の領域までシームレスに繋がる。それにより、「建築」が住み手に対して手をさしだし、境界を曖昧にすることで、トータルに空間のイメージを構成していくことが可能となっている。,
,,,,,,,,,,
,,,,,,,,,（廣部剛司）,
13,鈴木宏幸,1,130001,037軽井沢 I さんの家,,長野県軽井沢町,,,軽井沢の森に佇む山荘です。,https://suvaco.jp/project/M8kN2ffkWo
,,,,,,,,,設計のプロセスや現場の進捗など、ブログでご紹介しています。,
,,,,,,,,,ぜひご覧ください！,
,,,,,,,,,http://ameblo.jp/atelier137/theme-10076676126.html,
13,鈴木宏幸,2,130002,040軽井沢Cさんの家,,長野県軽井沢町,,,軽井沢の森に佇む山荘の増築です。,https://suvaco.jp/project/c62QkUxXyl
,,,,,,,,,設計のプロセスや現場の進捗など、ブログでご紹介しています。,
,,,,,,,,,ぜひご覧ください！,
,,,,,,,,,http://ameblo.jp/atelier137/theme-10085018774.html,
13,鈴木宏幸,3,130003,035カルイザワハウス,6000万円,長野県軽井沢町,,204平米,軽井沢に川のせせらぎが心地いい別荘です。,https://suvaco.jp/project/wlSKzvlzgN
,,,,,,,,,設計のプロセスや現場の進捗など、ブログでご紹介しています。,
,,,,,,,,,ぜひご覧ください！,
,,,,,,,,,http://ameblo.jp/atelier137/theme-10074393121.html,
13,鈴木宏幸,4,130004,027甲府 I さんの家,12000万円,山梨県甲府市,,305�F平米,富士山の見える丘に建つ二世帯住宅です。,https://suvaco.jp/project/973HeduEJ0
13,鈴木宏幸,5,130005,029那須Hさんの家,5500万円,栃木県那須町,,165平米,那須の森にたつ別荘です。,https://suvaco.jp/project/0e6BQJyTGz
14,成瀬友梨/猪熊純,1,140001,スプリットハウス,,東京都,2014.1,,この住宅は、1階と2階を切り離し、間に360°開口部の中間層を設けた建築である。,https://suvaco.jp/project/2aAtYBmVhC
,,,,,,,,,敷地は東京某所、木造住宅が密集する地域の旗竿敷地。採光とプライバシーの両立が極めて困難な状況を打開し、明るく広がりのある空間を獲得するため、この構成を採用した。,
,,,,,,,,,１階はキッチン・ダイニング・ソファスペース・共用書斎・和室など、共用の用途を集めた広々とした空間、２階は収納のない小さな個室と、動線を兼ねた納戸による空間である。個室を最小化し、ベッド以外のすべての用途を共用化することで、個室の利用者を入れ替えやすくし、家族構成の変化に柔軟に対応出来る冗長性を与えた。,
,,,,,,,,,構造壁が一切なくなった中間層には、複数のブレースを設けることで、水平力に対応した。結果的に、広々とした１階は枝のようなブレース混じりの構造から光が降り注ぎ、小さな空間が連続する２階は小さな部屋の中に柱が貫く、全体として森のような建築となった。,
,,,,,,,,,,
,,,,,,,,,1階と2階を切り離すことだけを目的にするならば、柱もブレースも無い方が純粋だ。しかし今回は、あえて木造の構造体を見せることで、広いリビングにヒューマンスケールを与え、構造材・素材として木の存在感を味わうことができる空間を作り出した。抽象的な空間構成のみを建築化するのではなく、即物的なモノの存在感を、空間構成に統合する試みである。,
14,成瀬友梨/猪熊純,2,140002,板橋の立体住居,,東京都板橋区,2014年12月,,この建築は、夫婦と子供2人（といっても大学生以上）、それに祖父の大人5人のための住宅である。家族ではありつつも、5人はそれぞれが独立した大人であり、自分のライフスタイルをもっている。これは、家長を元に家族内の立場が決まっていた頃の家族とは異なる、「家族全員がそれぞれ主体」という現代的な状況といえる。私たちはこうした構成の家族に対して、ハコである住宅にも、それに相応しい空間が必要と考えた。,https://suvaco.jp/project/yBU8vhqEWH
,,,,,,,,,　大人5人が快適に過ごせる居住空間を作るにあたって私たちが考えたのは、立体的に展開するチューブ状の共用空間とその周りに配置した個室群だ。リビング・ダイニング・キッチンは、ひと繋がりの空間でありながら、その中に散在し、まとまったひとつの部屋になっていない。階段などの縦動線や玄関、和室や客間も、この立体チューブの中に組み込まれている。空間は、洞窟のような閉塞感を与えないため、住宅スケールを逸脱した、大きな開口部を設け、室内でありながら街と再接続してゆくような体験を生み出している。またこうした街路のような雰囲気をさらに高めるため、階段や作り付けの家具や照明は、それぞれが独立した構成要素として視覚的に目立つように設計・配置し、雑多さを強調した。,
,,,,,,,,,　個室は各階に分散させ、それぞれの階に洗面やミニキッチン、トイレ等を配置し、フロアの中では個室同士が隣り合わないようにした。更に、個室の入り口はホールやリビング・ダイニングからは直接見えない、プライバシーの高い状況を作っている。それぞれの時間で生活をする大人たちが、互いにストレスなく過ごすことができるよう、共用空間と距離をとった個室群とした。,
,,,,,,,,,,
,,,,,,,,,　こうした構成をとることで、5人は全員が同じ場所に集まるだけでなく、様々な機能がばらまかれた共用部を中心に、個室まで含めた全体を思い思いに使いこなしながら暮らすことができる。この建築は、家族が団欒する家であると共に、5人の個人が暮らす街でもある。,
14,成瀬友梨/猪熊純,3,140003,GARDEN HOUSE,,神奈川県,2013年6月,,この住宅は、海沿いの温暖な敷地に建つ夫妻の家です。,https://suvaco.jp/project/8Sb7KnjvwA
,,,,,,,,,300�Fという敷地を活かし、建築を３つの棟に分け、間に庭をとるように配置しました。,
,,,,,,,,,結果的に、家のどこに居ても庭を感じる事ができ、庭をもうひとつの部屋として暮らす事のできる建築となっています。,
,,,,,,,,,帰省する子供の家族や、訪れる友人たちが、まるで別荘に来たかのように気楽に豊かに過ごす事のできる、環境と一体化した住宅です。,
14,成瀬友梨/猪熊純,4,140004,ROOM 101,,東京都渋谷区,2006年7月,,このプロジェクトは、東京都渋谷区にある分譲マンションのLDK部分のリノベーションです。,https://suvaco.jp/project/2DIye4Kys0
,,,,,,,,,LDKは、日本中どこにでもある典型的な住居の構成要素です。にもかかわらず、その形式は非常に限られています。特にマンションなどの集合住宅では。完全に一体となっているか、カウンター型か・・・。,
,,,,,,,,,私たちはこのLDKに対し、より積極的に、新しい空間構成を試みました。収納を部屋の方向と平行に、立体的に浮かせ、収納用の増加と空間の拡がり、使い勝手の良さを実現しました。,
,,,,,,,,,空間は、場所によってそれぞれ適した収納が身近にありつつも、視線の抜けと拡がりは部屋の広さと天井の高さを強調します。リビングに近いカウンターは広々としたダイニングテーブル、一番奥は、ハコに囲われて落ち着きがありつつも、中庭まで見通せます。その間は、ハコと隙間がレイヤー状に重なり合い、程よい距離感が生まれます。,
,,,,,,,,,収納を壁から飛び出させるために構造計算もし、鉄骨で支えています。とても小さなデザインの中に、LDKに対する提案、立体的な空間活用の提案、スケールの問題、内装における構造設計の意味を込めました。,
,,,,,,,,,Good Design Award 2007,
14,成瀬友梨/猪熊純,5,140005,世田谷フラット,,,,,これは、壁式構造の共同住宅の内装プロジェクトです。 もともと広めの間取りと、第一種低層地域の3階という恵まれた環境の一方で、壁をほとんど変更出来ないという難点もありました。�,https://suvaco.jp/project/YjU0PDSROU
,,,,,,,,,,
,,,,,,,,,そこで私たちは、壁以外の要素を入念に調整することで、もともとある壁を活かしながら、広がりのある空間となるよう考えました。 具体的には、北側に配置された長い廊下と、そこからアクセスする部屋によって成立している構成をそのままに、 各部屋の一面を印象的な仕上とし、キッチンや飾り棚、カウンターをレイヤ状に配しています。 リビングではこれらが重なった状態で見え、とてもダイナミックな空間になっています。�,
,,,,,,,,,,
,,,,,,,,,仕上げは、普通型枠打ち放し・モルタル金ごて・パテ扱きクリア塗装・ラーチ合板の4種を使っています。 普通型枠打ち放しは古い躯体、ラーチ合板は新設ですが、 モルタルとパテ扱きは、壁紙を剥いで現れたモルタル＋パテ扱きに、上塗りをしたものです。 古い要素でありながら新しい、中間的な存在を多用することで、古い建物なのに新しいものと良く調和し、 新しい要素があるのに年月を重ねた良さを残した、不思議な内装になっています。�,
,,,,,,,,,,
,,,,,,,,,苅部寛子建築設計事務所と共同設計,
15,篠崎弘之,1,150001,HouseY,,,2012,,新宿の超高層ビル群から少し離れた東京の都心の住宅街の中に建つ、２世帯の家族のための住宅。,https://suvaco.jp/project/SISMF5Y6w9
,,,,,,,,,１階から屋上のテラスまで、４層分を繋げる階段がある小さなホワイエのようなスペースが中心となってこの住宅は構成されている。家族それぞれの寝室やキッチン、リビング、ダイニング、バスやトイレなど全ての部屋がこの小さなホワイエに面していて、２世帯の家族がここを介して交わりながらそれぞれ生活していく構成になっている。玄関を開けてここに入ると誰かがどこからかドアを開けて顔をのぞかせる、そんなこの家族の風景がつくれればと考えていた。,
,,,,,,,,,この小さなホワイエは、都心の密集した住宅街の路地と屋上のテラスからのパノラマの眺望を繋ぎ、そしてこの家族それぞれをも繋ぐものになってくれればと思う。,
15,篠崎弘之,2,150002,HouseK,,,2011,,東京郊外の閑静な住宅地に建つ、二世帯の家族のための住宅。,https://suvaco.jp/project/tTOExhS08R
,,,,,,,,,間口1.8M、高さ9.0Mの細長いエンピツのような木質部分には、キッチンや洗面所、トイレ、お風呂や収納などが2家族分入っており、小さな木梁によって適宜自由な床や壁で構成されている。もう一方の四角い箱のRC部分には、リビングやダイニングなどの居住空間が集まっている。そしてこの２つ建物が細長い敷地の中に平行に並び、その間を廊下が繋ぐことで、この住宅は構成されている。,
,,,,,,,,,敷地の中に２つの建物を、廊下を挟みサンドイッチ状に並べることで、単純な住居の中に迷路のような長い距離をつくりだしている。その距離によって二世帯の住人は、各々にプライバシ-をとりながら生活することができる。そのように住人が自由な距離をとれる建物がこれからの新しい二世帯住宅のあり方ではないかと考えた。,
,,,,,,,,,住宅を「居住空間とその生活を支える空間」で考えることで、いわゆる「二世帯住宅」という短期的な建物の使われ方を越えて、例えば将来的に三世帯が住まうことになった場合にも、同じように複数の家族が暮らせる長寿の住宅になることを目指している。,
15,篠崎弘之,3,150003,HouseH,,,2012,,千葉県の郊外に建つ、若い夫婦と小さな子供のための住宅。,https://suvaco.jp/project/G9BSoen5C9
,,,,,,,,,敷地の中に配置した大きな屋根の中に、8本のY字型をした木フレームを林立させ、そのフレームに2階の床やロフトの床を引掛けて居室を設ける計画とした。Y字フレームは、伝統的な木造建築でいう屋根裏の束や梁のように家全体に張り巡らされ、その中に自由な高さで6枚の床板を引掛けている。引掛ける床板のレベルや場所よって、屋根面や他の居室との距離が変化するとともに、床板下の空間にも変化が生まれている。,
,,,,,,,,,家全体は1つの大きなワンルームだが、Y字フレームとそこに引掛かる床板によって、大きな屋根の下の空間が緩やかに分節され、家族がそれぞれの場所に居ながらでも、互いに気配を感じながら暮らしていけることを意図している。,
,,,,,,,,,Y字フレームに絵や小物を飾ったり洗濯物を掛けたり、また子供の背丈が印させたりと、家族の日常的な生活に家の骨組みが自由に使われて関わっていくことで、手垢が残る本のように、家族の生活の跡が残る家になってほしいと思う。,
15,篠崎弘之,4,150004,HouseT,,,2012,,夫婦のアトリエも兼ねた、東京の都心の住宅街の中に建つ住宅。,https://suvaco.jp/project/iF4nIy7MsK
,,,,,,,,,敷地の外形に合わせて平面的に少し変形した箱の中に、本棚の棚板のような床がいろんな高さに浮いているような構成でこの住宅は作られている。それらの棚板のような床には好きな家具が好きな場所に置かれて、ダイニングやキッチン、リビングやベッドルームになっている。大きな気積をもったこの箱の中には、浮遊している棚板の床の上でのいろんな生活の場所が360度の視点で展開していく。この箱の中では生活する場所が従来の生活動線のようなもので一方向的につながっていくものではなく、３次元的な距離によってそれぞれが見え隠れしながらつながっている。それぞれ平面的には隣り合い開放的でありながらもその距離によって適度な分節を同時に確保している構成である。,
,,,,,,,,,大きな家具のようなこの小さな住宅は、生活そのものを収納していくような、そんな住宅になっている。,
15,篠崎弘之,5,150005,HouseM,,,2012,,閑静な住宅街に建つ、木造平屋の住宅。,https://suvaco.jp/project/eMRJq76Dlf
,,,,,,,,,敷地の真ん中に6.0ｘ6.0ｍのスペースを確保し、そのまわりにトイレやお風呂、キッチン、収納やベッドスペースがそれぞれ必要な大きさで敷地全体にラッパ状に広がって張り出している。それらに2ｘ12材の梁でつくられた大屋根がふたのように乗っかって全体を構成している。貼りだしているラッパ状の隙間からは外の木々が見えたり、ドアがあって出入口になっていたり、車をとめるスペースになっている。,
,,,,,,,,,大きな屋根の下の、光が差し込むおおらかな居住のスペースが、それを補う機能的なスペースによって支えられているという構成をひとつのかたちとして表現している。,
16,各務謙司,1,160001,目黒Ｓ邸,1300万円,,1969年,67平米,築41年のヴィンテージマンションのスケルトンリフォーム事例です。木質系素材と塗装の仕上げで、古さを活かした雰囲気のあるインテリアへとリフォームしました。,https://suvaco.jp/project/UFPilzXkrZ
,,,,,,,,,,
,,,,,,,,,開放的な連続窓が特徴の東西に細長い２ＬＤＫのマンションを全面的にリフォームしました。水平性が強調された空間の魅力をより活かすため、床のオーク・フローリングと天井のウォールナット羽目板貼りで室内をサンドイッチしています。従来は窓だった西面は、隣地の景観とプライバシーを考え、一部にピクチャーウインドウを切り抜いた壁へと変えています。,
,,,,,,,,,,
,,,,,,,,,水回りの位置はほとんど変えていませんが、床下の給排水管は全面的に交換し、浴室・洗面・トイレ・キッチンの設備もすべて刷新しました。暗かったキッチンは、対面カウンターとすることで、ダイニングと一体化した明るい空間に変わりました。狭かった洗面はトイレの向きと入り口を変えることで、ホテルライクのスタイリッシュな洗面・トイレへと変身しています。,
,,,,,,,,,,
,,,,,,,,,収納が少なかった玄関周りは、ブロック造の壁を取り壊し、造作家具と斜め壁で構成されたコンパクトながら収納量十分の空間へとリフォームしました。ガタガタしていた廊下も壁面状のスッキリした収納に沿ってリビングと繋がりました。和室はヘッドボードと姿見を備えた快適な寝室になりました。,
16,各務謙司,2,160002,代官山Ｔ邸,3500万円,,2008年,142平米,ハードでクールな素材で纏めた築浅高級マンションのインテリアリフォーム事例。,https://suvaco.jp/project/3ZGClUK3g5
,,,,,,,,,,
,,,,,,,,,築５年のマンションを間取りをほとんど変えず、石や金属、ガラスといったハードな仕上げ材料とハイエンドなガジェットを組み込んだラグジュアリーリフォームです。,
,,,,,,,,,,
